url,name,sku,price,currency,in_stock,categories,images,description
https://silverisrael.co.il/product/si014-%d7%a1%d7%98-%d7%a9%d7%a8%d7%a9%d7%a8%d7%aa/,SI014 סט שרשרת,,,,False,Uncategorized; SHOP THE LOOK; סט תכשיטי נשים,https://silverisrael.co.il/wp-content/uploads/2023/05/14.jpg,
https://silverisrael.co.il/product/si008-%d7%a1%d7%98-%d7%a9%d7%a8%d7%a9%d7%a8%d7%aa/,SI008 סט שרשרת,36647_C7B5,,,False,Uncategorized; SHOP THE LOOK; סט תכשיטי נשים,https://silverisrael.co.il/wp-content/uploads/2023/05/8.jpg,
https://silverisrael.co.il/product/si009-%d7%a1%d7%98-%d7%a9%d7%a8%d7%a9%d7%a8%d7%aa/,SI009 סט שרשרת,36652_643C,,,False,Uncategorized; SHOP THE LOOK; סט תכשיטי נשים,https://silverisrael.co.il/wp-content/uploads/2023/05/9.jpg,
https://silverisrael.co.il/product/si011-%d7%a1%d7%98-%d7%a9%d7%a8%d7%a9%d7%a8%d7%aa/,SI011 סט שרשרת,36661_FC9E,,,False,Uncategorized; SHOP THE LOOK; סט תכשיטי נשים,https://silverisrael.co.il/wp-content/uploads/2023/05/11.jpg,
https://silverisrael.co.il/product/%d7%a9%d7%a8%d7%a9%d7%a8%d7%aa-loz3093/,שרשרת LOZ3093,LOZ3093,,,,Uncategorized; שרשראות,,
https://silverisrael.co.il/product/%d7%a9%d7%a8%d7%a9%d7%a8%d7%aa-loz3093-2/,שרשרת LOZ3093-2,LOZ3093-2,,,,שרשראות; זהב אדום (רוז גולד),,
https://silverisrael.co.il/product/%d7%a2%d7%92%d7%99%d7%9c-loz085/,עגיל LOZ085,LOZZ082-1,,,False,עגילים; כל העגילים; עגילים; עגילים צמודים,https://silverisrael.co.il/wp-content/uploads/2023/03/6321530bf3230_עגיל20LOZ085.jpeg,
https://silverisrael.co.il/product/%d7%98%d7%91%d7%a2%d7%aazsi001-38-3/,"טבעת
ZSI001-38",ZSI125-6,,,True,Uncategorized; תכשיטי נשים; זהב,https://silverisrael.co.il/wp-content/uploads/2023/11/631b027c7793a_6-scaled.jpeg,
https://silverisrael.co.il/product/%d7%a6%d7%9e%d7%99%d7%93-%d7%9b%d7%a1%d7%a3-%d7%9e%d7%a6%d7%95%d7%a4%d7%94-%d7%a8%d7%95%d7%96-%d7%92%d7%95%d7%9c%d7%93-zsi023/,צמיד  LOZ1041-2,LOZ1041-2,,,True,צמידים; זהב אדום (רוז גולד),https://silverisrael.co.il/wp-content/uploads/2022/09/632678168ed8d_לבן-scaled.jpeg; https://silverisrael.co.il/wp-content/uploads/2022/09/6326781f2b410_ירוק-scaled.jpeg,
https://silverisrael.co.il/product/y014-%d7%a1%d7%98/,Y014 סט,41592_F454-1-1-1-1-2-1-1-1-2-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-2-1-1-1-1-1-1-2-1-1-1-1-1-1-1-1,,,False,SHOP THE LOOK - MAN; תכשיטי גברים,https://silverisrael.co.il/wp-content/uploads/2024/07/תמונה-של-WhatsApp‏-2024-07-19-בשעה-11.50.11_9a184c41.jpg,
https://silverisrael.co.il/product/y010-0%d7%a1%d7%98/,Y010 0סט,41592_F454-1-1-1-1-2-1-1-1-2-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-2-1-1-1-1-1-1-2-1-1-1-1-1-1-1-1,,,False,SHOP THE LOOK - MAN; תכשיטי גברים,https://silverisrael.co.il/wp-content/uploads/2024/07/תמונה-של-WhatsApp‏-2024-07-19-בשעה-10.26.22_3897e0ad.jpg,
https://silverisrael.co.il/product/y008-%d7%a1%d7%98/,Y008 סט,41592_F454-1-1-1-1-2-1-1-1-2-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-2-1-1-1-1-1-1-2-1-1-1-1-1-1-1-1,,,False,SHOP THE LOOK - MAN; תכשיטי גברים,https://silverisrael.co.il/wp-content/uploads/2024/07/תמונה-של-WhatsApp‏-2024-07-19-בשעה-09.42.41_6ff14794.jpg,
https://silverisrael.co.il/product/y007-%d7%a1%d7%98/,Y007 סט,41592_F454-1-1-1-1-2-1-1-1-2-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-2-1-1-1-1-1-1-2-1-1-1-1-1-1-1-1,,,False,SHOP THE LOOK - MAN; תכשיטי גברים,https://silverisrael.co.il/wp-content/uploads/2024/07/תמונה-של-WhatsApp‏-2024-07-19-בשעה-09.46.09_a0b34806.jpg,
